Company Name,Stock Symbol (NSE),Weightage (%)
Adani Ports & Special Economic Zone Ltd ,ADANIPORTS,1.09
Asian Paints Ltd.,ASIANPAINT,1.54
Axis Bank Ltd.,AXISBANK,3.61
Bajaj Finserv Ltd.,BAJAJFINSV,1.1
Bajaj Finance Ltd.,BAJFINANCE,2.21
Bharti Airtel Ltd.,BHARTIARTL,4.71
HCL Technologies Ltd ,HCLTECH,1.95
HDFC Bank Ltd.,HDFCBANK,13.45
Hindustan Unilever Ltd.,HINDUNILVR,2.72
ICICI Bank Ltd.,ICICIBANK,9.23
IndusInd Bank Ltd.,INDUSINDBK,0.99
Infosys Ltd.,INFY,6.97
ITC Ltd.,ITC,4.93
JSW Steel Ltd.,JSWSTEEL,1.01
Kotak Mahindra Bank Ltd.,KOTAKBANK,2.8
Larsen & Toubro Ltd.,LT,4.42
Mahindra & Mahindra Ltd.,M&M,3.09
Maruti Suzuki India Ltd.,MARUTI,1.8
Nestle India Ltd.,NESTLEIND,0.99
NTPC Ltd.,NTPC,2.17
Power Grid Corporation of India Ltd.,POWERGRID,1.66
Reliance Industries Ltd.,RELIANCE,10.28
State Bank of India,SBIN,3.11
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,2.14
Tata Motors Ltd.,TATAMOTORS,2.1
Tata Steel Ltd.,TATASTEEL,1.43
Tata Consultancy Services Ltd.,TCS,4.45
 Tech Mahindra Ltd ,TECHM,1.03
Titan Company Ltd.,TITAN,1.64
UltraTech Cement Ltd.,ULTRACEMCO,1.37
