Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1140001121,73694.92444090,0.63674007,2.04,0.45,0.98,3.86,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,106602.90394037,0.92107213,2.08,0.48,1.24,-2.27,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,72787.97891385,0.62890387,0.53,0.11,0.76,3.92,0.01
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,150389.38686813,1.29939680,0.50,0.14,0.94,6.47,0.02
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6186123048,350705.09944863,3.03016785,1.12,0.38,1.20,4.85,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2792576080,136765.79545529,1.18168603,0.55,0.09,1.60,13.35,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1237992640,215192.79830106,1.85931228,1.05,0.31,1.58,6.98,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1596662097,107620.21937540,0.92986195,0.99,0.36,1.44,10.68,0.03
9,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,101831.16040310,0.87984323,1.73,0.38,1.73,-4.74,0.02
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,43385054880,71509.70879584,0.61785934,1.39,0.28,1.95,3.44,0.02
11,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,28465772430,457581.48698654,3.95360294,0.89,0.29,1.51,7.58,0.02
12,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,74598.53178131,0.64454744,0.27,0.04,0.78,8.25,0.02
13,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1615119840,90768.58516381,0.78426019,0.29,0.03,1.12,-0.05,0.02
14,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,115554.62728798,0.99841695,1.55,0.36,1.51,-2.82,0.03
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,834349410,82223.66927798,0.71043027,0.41,0.08,0.85,-3.98,0.01
16,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,274060710,69035.63615689,0.59648282,0.85,0.21,1.18,1.33,0.02
17,GRASIM,Grasim Industries Ltd.,CEMENT,1316958452,103867.61046262,0.89743860,0.97,0.32,1.42,3.58,0.02
18,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,189434.39822110,1.63675414,0.69,0.16,1.34,2.44,0.02
19,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,7628644396,1312015.94304746,11.33610129,0.99,0.39,0.85,5.81,0.01
20,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21522212070,76517.90034159,0.66113120,0.61,0.12,1.53,-2.80,0.02
21,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399960236,73940.69505672,0.63886358,0.59,0.09,1.63,4.71,0.02
22,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247216523,109880.50608179,0.94939132,1.13,0.25,1.73,7.82,0.02
23,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262,263041.74692720,2.27273754,0.22,0.03,1.34,6.49,0.02
24,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,14091369608,895604.38483155,7.73821544,1.01,0.45,1.42,3.56,0.02
25,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12507598702,481316.96547833,4.15868260,0.65,0.22,0.92,3.24,0.02
26,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7789930880,95483.57358827,0.82499871,1.19,0.41,0.95,1.57,0.02
27,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20760673405,674093.86482862,5.82431667,0.80,0.23,1.08,-3.50,0.02
28,JSWSTEEL,JSW Steel Ltd.,STEEL,2445453966,98653.77573800,0.85238994,1.34,0.47,1.38,9.45,0.03
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9940600060,271847.66326112,2.34882256,0.85,0.26,1.02,4.11,0.02
30,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2749989800,432084.52331515,3.73330366,1.42,0.50,1.20,-0.79,0.02
31,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6217644155,275376.76396533,2.37931475,1.22,0.30,1.87,10.32,0.02
32,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1572012870,173976.24230942,1.50319233,0.79,0.24,1.30,6.73,0.02
33,NTPC,NTPC Ltd.,POWER,96966661340,209584.38412744,1.81085437,1.55,0.44,1.53,6.49,0.03
34,NESTLEIND,Nestle India Ltd.,CONSUMER FOOD,964157160,96229.20927024,0.83144116,0.32,0.05,1.07,7.57,0.03
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION,62901396030,115291.25422353,0.99614135,1.78,0.42,1.69,-10.02,0.02
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER - TRANSMISSION,93006038190,159626.37620832,1.37920639,1.28,0.33,1.40,4.58,0.03
37,RELIANCE,Reliance Industries Ltd.,REFINERIES/MARKETING,67658171140,1000010.67586728,8.64030836,1.16,0.53,1.13,-2.19,0.01
38,SBILIFE,SBI Life Insurance Company Ltd.,LIFE INSURANCE,10019239540,82364.23390336,0.71164478,0.79,0.20,1.54,-0.34,0.03
39,SHRIRAMFIN,Shriram Finance Ltd.,NBFC,3759892640,99829.79248227,0.86255098,1.56,0.37,1.66,11.62,0.02
40,SBIN,State Bank of India,PUBLIC SECTOR BANK,8924612434,302710.55796575,2.61548464,1.49,0.49,1.48,-3.40,0.02
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970,207700.03359404,1.79457318,0.46,0.11,0.91,5.77,0.02
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3618087518,435669.78335615,3.76428108,0.60,0.15,0.91,-6.26,0.02
43,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,989403547,77751.48247326,0.67178961,0.49,0.09,1.02,-0.27,0.02
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,7361768240,206581.46301546,1.78490849,1.08,0.26,1.62,-12.30,0.02
45,TATASTEEL,Tata Steel Ltd.,STEEL,12483527171,139484.26684217,1.20517421,1.51,0.48,1.37,10.34,0.02
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4891061850,99943.25458646,0.86353132,0.89,0.23,1.42,-3.62,0.03
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,158000.38753906,1.36515749,0.69,0.17,1.06,7.26,0.02
48,TRENT,Trent Ltd.,SPECIALITY RETAIL,355487461,168044.78295617,1.45194324,0.84,0.10,1.32,5.81,0.01
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886973180,134516.82361356,1.16225443,1.12,0.44,1.01,4.42,0.02
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,10462585398,76446.74508786,0.66051640,1.06,0.26,1.68,0.57,0.03
