CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,-,-,-,"2,660.80",-,-,-,-,-,"22,250.00",300,2.55,2.80,525,-0.85,2.60,23.96,"1,366",542,996,
,2,-,-,-,"2,610.40",-,-,-,-,-,"22,300.00",150,2.65,2.80,600,-1.00,2.70,23.64,"2,456","1,460","1,704",
,3,-,-,-,"2,561.10",-,-,-,-,-,"22,350.00",300,2.75,3.05,225,-0.70,2.85,23.35,130,30,98,
,7,-,-,-,"2,423.45",-,-,-,-,-,"22,400.00",75,3.00,3.35,300,-0.90,3.05,23.11,370,105,186,
,3,-,-,-,"2,462.55",-,-,-,-,-,"22,450.00",75,3.05,3.70,150,-0.30,3.50,23.06,16,7,34,
,49,-,-,-,"2,357.80",-,-,-,"2,370.00",150,"22,500.00",675,3.45,3.70,375,-0.35,3.45,22.57,"2,337",445,"1,674",
,3,-,-,-,"2,364.25",-,-,-,-,-,"22,550.00",900,3.25,3.85,75,-0.30,3.70,22.33,108,86,87,
,4,-,-,-,"2,313.35",0.15,-,-,-,-,"22,600.00",150,3.60,4.05,225,-0.35,4.05,22.14,631,119,261,
,3,-,-,-,"2,263.50",-,-,-,-,-,"22,650.00",900,3.55,4.95,"1,500",-1.15,4.20,21.79,149,24,33,
,4,-,-,-,"2,213.20",-0.35,-,-,-,-,"22,700.00",150,4.00,4.55,150,-0.65,4.00,21.20,670,227,324,
,4,-,-,-,"2,164.25",-,-,-,-,-,"22,750.00",900,4.35,5.05,300,-0.05,4.95,21.36,200,86,113,
,5,-,-,-,"1,980.00",-,-,-,-,-,"22,800.00",150,5.10,6.60,750,0.05,5.35,21.13,"3,074",203,928,
,5,-,-,-,"2,065.70",0.15,-,-,-,-,"22,850.00",900,4.75,9.95,675,-0.70,5.80,20.90,404,27,199,
,8,-,-,-,"2,016.10",0.15,-,-,-,-,"22,900.00",150,5.60,6.70,75,0.30,6.25,20.66,"2,249",213,838,
,7,-,-,-,"1,966.75",0.15,-,-,-,-,"22,950.00",750,5.60,6.90,75,0.15,6.75,20.42,215,37,62,
,28,2,5,-,"1,816.60",40.15,150,"1,776.85","1,845.50",150,"23,000.00",225,7.35,7.70,150,0.30,7.65,20.33,"9,917",652,"4,065",
,7,-,-,-,"1,868.00",0.15,-,-,-,-,"23,050.00",900,6.70,11.75,"3,000",1.25,8.25,20.08,326,40,62,
,6,-,-,-,"1,720.00",-,-,-,-,-,"23,100.00",75,8.85,8.90,"1,350",0.85,8.90,19.83,"2,118",8,438,
,7,-,-,-,"1,769.50",0.15,-,-,-,-,"23,150.00",900,7.60,13.95,"1,500",1.70,9.70,19.61,51,27,70,
,9,-,-,-,"1,694.75",-,-,-,-,-,"23,200.00",525,10.50,11.15,75,1.55,10.55,19.38,"3,867",647,"1,468",
,6,-,-,-,"1,661.20",-,-,-,-,-,"23,250.00",375,11.80,15.80,"1,500",1.90,11.80,19.25,737,152,214,
,6,-,2,13.83,"1,535.00",-3.90,75,"1,488.20","1,548.15",75,"23,300.00",75,11.90,13.60,300,1.30,11.85,18.74,"5,251",646,"1,593",
,6,-,-,-,"1,563.40",-,-,-,-,-,"23,350.00",900,11.05,19.90,"1,500",3.55,14.80,18.99,637,99,336,
,9,1,1,-,"1,420.00",16.60,-,-,-,-,"23,400.00",150,15.80,17.00,150,3.15,16.15,18.77,"3,286",392,932,
,11,-,-,-,"1,468.20",-,525,"1,301.00",-,-,"23,450.00",675,14.35,21.25,675,-15.55,18.60,18.75,951,287,321,
,168,15,36,-,"1,319.60",-86.50,75,"1,295.95","2,053.55",750,"23,500.00",450,20.10,21.00,"1,500",4.50,20.60,18.59,"20,752","4,325","11,196",
,7,-,-,-,"1,357.10",-,-,-,-,-,"23,550.00",375,22.05,24.25,150,5.85,23.75,18.59,"1,268",327,466,
,12,-,-,-,"1,242.00",-,-,-,-,-,"23,600.00",75,24.95,26.50,75,5.75,26.00,18.39,"6,481",710,"2,103",
,6,-,-,-,"1,252.95",-,-,-,-,-,"23,650.00",300,28.60,30.95,75,6.15,28.55,18.20,"1,248",220,324,
,23,13,22,14.81,"1,147.95",-97.05,225,"1,100.10","1,139.30",75,"23,700.00",525,32.00,32.50,"2,625",7.75,32.50,18.16,"7,319","1,613","2,851",
,13,-,-,-,"1,090.00",-,-,-,-,-,"23,750.00",300,35.05,37.90,300,8.35,36.45,18.07,881,331,438,
,83,61,93,15.15,"1,055.90",-59.65,75,"1,011.25","1,066.20",75,"23,800.00",225,40.25,41.40,75,9.80,41.00,18.01,"12,548","2,015","4,158",
,5,-,-,-,"1,068.10",-,"1,800",180.10,-,-,"23,850.00",75,45.50,46.85,75,10.30,45.50,17.88,"2,246",431,649,
,48,13,18,15.25,964.90,-47.45,225,923.90,956.30,75,"23,900.00",150,49.85,51.50,75,11.25,50.60,17.82,"7,613","1,161","2,425",
,8,2,15,15.32,920.60,-63.55,300,876.40,931.85,300,"23,950.00",300,55.60,58.90,300,12.45,56.90,17.72,"1,715",378,519,
,764,90,792,12.62,855.35,-65.65,75,848.40,867.80,75,"24,000.00",75,63.70,64.95,150,13.85,64.00,17.69,"23,955","4,458","9,470",
,12,-,-,-,840.00,-,"1,800",110.10,-,-,"24,050.00",300,67.25,73.00,75,16.05,71.35,17.62,"2,119",279,474,
,152,48,79,13.69,774.00,-29.35,75,760.55,783.60,150,"24,100.00",75,74.40,81.70,75,16.55,78.85,17.51,"7,796",770,"1,899",
,8,1,6,15.61,751.75,-45.40,150,714.05,836.00,900,"24,150.00",75,87.15,91.45,150,16.95,87.15,17.41,"1,810",38,799,
,151,20,86,14.76,700.75,-42.15,75,676.60,707.80,150,"24,200.00",75,94.45,98.00,75,17.05,94.10,17.15,"10,219","1,059","4,750",
,7,4,13,14.84,661.30,-3.70,75,602.75,703.20,150,"24,250.00",150,102.45,109.00,75,19.90,107.30,17.29,"1,866",212,641,
,312,74,403,14.45,616.70,-54.60,75,605.20,619.00,"1,800","24,300.00",75,117.95,121.00,150,22.95,120.10,17.33,"7,692",540,"2,484",
,31,22,112,14.56,579.75,-37.60,300,558.20,650.45,75,"24,350.00",450,125.10,137.60,150,25.45,131.60,17.21,"2,001",234,441,
,282,92,427,15.08,550.25,-47.70,75,527.35,550.00,150,"24,400.00",75,142.55,149.70,75,28.95,149.75,17.45,"8,013",894,"2,387",
,53,4,115,15.07,514.25,-55.10,225,480.30,536.15,375,"24,450.00",75,160.10,165.10,75,23.95,158.80,17.06,"3,553",309,430,
,"1,506",451,"3,267",14.85,476.20,-51.70,150,470.40,478.40,75,"24,500.00",225,176.35,178.40,75,29.40,178.25,17.24,"21,616","2,481","7,817",
,131,102,237,15.19,448.50,-36.15,300,402.70,445.40,75,"24,550.00",75,193.55,199.00,150,30.70,193.75,17.12,"2,415",211,412,
,932,350,"2,548",14.81,410.00,-47.10,75,408.60,414.30,150,"24,600.00",225,211.00,215.00,150,33.85,215.00,17.26,"10,897",864,"2,613",
,472,281,"1,138",14.95,381.85,-42.55,75,379.40,388.20,75,"24,650.00",75,233.50,235.45,75,40.95,237.10,17.38,"3,134",260,655,
,"2,080",759,"8,046",15.10,355.20,-39.10,75,351.30,355.20,150,"24,700.00",150,253.85,256.95,75,36.95,252.95,17.08,"11,084","1,002","3,397",
,"1,469",934,"6,681",15.24,329.95,-34.20,75,324.20,328.10,150,"24,750.00",150,276.80,283.25,75,52.45,291.00,17.93,"6,425",504,"1,198",
,"8,970","3,705","25,951",15.05,300.00,-36.55,75,297.50,300.25,225,"24,800.00",150,300.70,304.75,75,43.75,304.60,17.38,"25,172","2,678","7,977",
,"1,585",721,"6,568",15.06,275.25,-39.80,75,273.35,276.05,75,"24,850.00",150,325.70,334.95,75,46.70,326.15,17.20,"5,687",418,"1,023",
,"5,153","1,804","14,170",15.08,251.95,-34.95,75,250.10,253.15,75,"24,900.00",150,352.55,362.70,150,42.40,349.10,17.03,"9,090",775,"4,101",
,897,338,"3,655",15.17,231.40,-34.05,75,229.15,234.95,150,"24,950.00",75,381.85,399.25,225,35.05,367.00,16.52,"1,298",215,355,
,"12,230","3,629","29,712",15.28,212.50,-29.15,150,208.25,210.30,150,"25,000.00",150,408.70,417.45,150,43.90,406.75,17.13,"6,411",609,"4,401",
,801,292,"3,187",15.11,190.05,-32.90,75,187.00,192.70,75,"25,050.00",75,439.15,477.45,225,44.60,436.45,17.12,627,244,297,
,"3,279",930,"9,735",15.18,173.05,-29.90,75,170.95,173.30,375,"25,100.00",75,471.10,489.40,75,57.60,475.00,17.55,"1,001",208,487,
,643,377,"4,438",15.00,153.10,-33.00,525,150.00,156.20,75,"25,150.00",75,503.40,522.20,75,54.55,501.50,17.24,402,164,202,
,"6,330","2,878","17,656",15.16,140.05,-26.70,300,139.00,140.10,75,"25,200.00",75,537.70,550.20,75,51.70,536.45,17.34,767,187,449,
,789,462,"6,137",15.23,126.80,-24.20,750,122.75,127.75,75,"25,250.00",600,117.20,593.50,225,73.90,567.35,17.14,314,117,163,
,"4,706","1,736","18,821",15.05,110.75,-25.05,75,110.20,113.95,75,"25,300.00",75,601.80,623.10,150,50.70,603.40,17.18,329,-29,211,
,"2,170","1,807","5,435",15.23,101.15,-20.40,75,98.00,101.30,150,"25,350.00",300,627.25,665.75,75,43.55,635.65,16.91,46,6,41,
,"3,397",995,"12,191",15.07,87.85,-20.80,75,85.00,88.55,75,"25,400.00",75,620.65,704.20,225,62.65,686.25,17.79,125,36,132,
,566,340,"2,373",15.19,79.30,-17.60,150,73.80,79.90,150,"25,450.00",150,713.20,800.10,225,41.60,709.15,16.73,39,35,75,
,"9,399","3,527","30,479",15.00,67.75,-17.65,75,67.50,69.00,750,"25,500.00",150,761.00,777.30,75,58.95,765.05,17.93,740,93,584,
,"1,003",376,"3,276",15.01,59.70,-16.05,75,58.00,61.15,225,"25,550.00",-,-,-,-,-,800.35,-,-,-,10,
,"2,757",974,"13,285",14.89,51.00,-15.45,600,51.00,52.50,150,"25,600.00",225,826.90,872.90,150,46.90,842.90,17.77,354,286,311,
,"1,363",987,"6,588",14.98,45.40,-14.40,150,43.55,46.80,150,"25,650.00",-,-,-,-,-0.95,824.45,-,-,-,13,
,"4,029","1,299","19,115",14.82,38.05,-14.00,75,38.35,39.95,375,"25,700.00",525,906.85,967.35,75,65.55,925.60,17.72,46,20,31,
,581,223,"3,518",14.97,34.15,-11.85,75,32.00,35.20,75,"25,750.00",-,-,-,-,-0.90,922.50,-,-,-,8,
,"4,051","1,940","17,974",14.86,28.70,-11.75,75,28.00,29.90,600,"25,800.00",525,996.95,"1,054.70",150,60.35,"1,010.05",17.57,6,2,20,
,568,243,"2,274",15.00,25.65,-10.15,450,23.20,26.50,300,"25,850.00",-,-,-,-,-,994.35,-,-,-,8,
,"2,743","1,170","14,157",15.04,22.30,-9.30,600,21.10,22.15,75,"25,900.00",150,"1,111.40","1,128.75",75,67.05,"1,110.90",18.92,172,105,114,
,496,319,"2,457",15.02,19.00,-9.25,300,18.65,20.35,150,"25,950.00",-,-,-,-,-0.35,"1,085.25",-,-,-,19,
,"13,124","3,992","38,994",15.27,17.55,-7.25,150,17.00,17.20,150,"26,000.00","1,725","1,178.65","1,246.80",450,50.15,"1,192.05",17.95,84,30,98,
,366,202,"2,141",15.23,14.80,-6.85,75,13.30,14.80,225,"26,050.00",-,-,-,-,0.15,"1,179.25",-,-,-,15,
,"1,632",53,"10,409",15.22,12.55,-6.15,75,12.05,12.55,75,"26,100.00",150,"1,296.70","1,330.40",225,67.60,"1,293.90",19.35,6,5,20,
,305,66,"1,804",15.18,10.50,-5.80,675,9.05,10.45,750,"26,150.00",-,-,-,-,0.05,"1,273.25",-,-,-,16,
,"4,759","1,974","14,513",15.16,8.80,-5.40,225,8.90,9.25,"2,475","26,200.00",-,-,-,-,-5.90,"1,287.00",-,-,-,12,
,347,160,"1,546",15.30,7.85,-5.05,150,7.45,8.40,600,"26,250.00",-,-,-,-,-,"1,342.30",-,-,-,10,
,"1,655",858,"5,906",15.50,7.15,-4.00,375,6.60,7.15,75,"26,300.00",-,-,-,-,-,"1,394.90",-,-,-,8,
,344,154,"1,285",15.69,6.50,-3.40,300,6.25,6.40,600,"26,350.00",-,-,-,-,-,"1,438.75",-,-,-,10,
,"1,737",630,"5,588",15.61,5.30,-3.30,"1,350",5.30,6.00,300,"26,400.00",-,-,-,-,-0.30,"1,496.85",-,-,-,11,
,141,44,485,15.98,5.20,-5.35,"1,800",4.60,5.45,150,"26,450.00",-,-,-,-,0.90,"1,543.45",-,-,-,12,
,"6,062","2,748","12,273",16.12,4.65,-2.65,"2,175",4.60,4.80,675,"26,500.00",-,-,"1,746.00",75,-,"1,638.65",-,-,-,7,
,250,170,800,16.46,4.55,-2.75,75,4.05,4.95,300,"26,550.00",-,-,-,-,-0.80,"1,644.10",-,-,-,8,
,"2,273",376,"3,794",16.50,3.90,-2.00,75,3.90,4.05,300,"26,600.00",-,-,-,-,-0.20,"1,679.75",-,-,-,10,
,740,535,"1,187",16.83,3.80,-2.00,75,3.55,4.15,225,"26,650.00",-,-,-,-,-,"1,729.65",-,-,-,11,
