CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"13,000.00",300,6.80,-,-,0.50,9.10,36.86,12,-2,84,
,-,-,-,-,-,-,-,-,-,-,"15,000.00",75,11.60,17.60,225,-,14.75,-,-,-,48,
,5,-,-,-,"9,350.00",-,-,-,-,-,"16,000.00",300,22.30,44.65,150,-1.30,23.35,30.13,5,-,50,
,-,-,-,-,-,-,-,-,-,-,"16,500.00","5,850",20.25,-,-,-,20.30,-,-,-,37,
,9,-,-,-,"7,010.00",-,-,-,"9,000.00",150,"17,000.00",150,30.60,30.85,75,-1.85,30.85,27.93,26,-7,437,
,141,-,-,-,"7,344.95",-,75,"7,000.00",-,-,"18,000.00",150,39.50,40.70,75,-2.65,40.45,25.75,75,-19,"1,206",
,95,-,-,-,"6,300.00",-,-,-,-,-,"19,000.00",825,48.40,49.90,225,-,49.90,23.35,134,-14,"2,272",
,15,-,-,-,"5,400.00",-,-,-,-,-,"19,500.00",-,-,-,-,-,-,-,-,-,-,
,"1,388",86,115,-,"5,420.00",-48.55,75,"5,381.00","5,405.40",75,"20,000.00",300,70.25,71.80,600,0.55,71.45,21.60,774,52,"9,137",
,"1,484",1,7,-,"4,520.00",-64.15,75,"4,500.05","4,517.30",75,"21,000.00",150,113.10,114.00,75,1.30,114.00,20.36,928,192,"8,347",
,"3,823",-6,31,-,"3,660.35",-57.25,75,"3,629.00","3,644.60",75,"22,000.00",225,185.00,186.95,75,3.60,185.00,19.30,"1,106",50,"15,881",
,"5,544",-,46,-,"2,820.00",-70.55,75,"2,815.00","2,824.00",75,"23,000.00",150,302.10,305.00,75,9.85,302.10,18.43,"1,635",290,"20,099",
,"11,723",60,358,-,"2,050.00",-84.45,75,"2,044.15","2,068.20",75,"24,000.00",75,484.05,488.00,450,20.60,487.20,17.73,"1,387",166,"35,521",
,"10,127",-81,853,9.12,"1,380.40",-72.90,75,"1,375.00","1,383.20",375,"25,000.00",75,770.05,772.50,75,38.95,769.55,17.27,"1,345",175,"20,582",
,"19,485",311,"1,568",10.03,844.00,-52.90,150,844.00,853.90,450,"26,000.00",75,"1,187.05","1,194.95",75,47.55,"1,189.20",17.28,"1,118",187,"9,692",
,"16,870",38,929,10.45,470.00,-30.65,75,470.00,474.10,150,"27,000.00",75,"1,757.85","1,771.00",150,73.10,"1,757.95",17.82,314,118,"7,849",
,"9,983",-131,"1,266",10.75,242.00,-16.30,900,242.00,245.95,75,"28,000.00",225,"2,478.95","2,489.90",75,90.70,"2,479.35",19.19,52,2,"6,321",
,"4,009",74,607,11.24,125.00,-7.15,"1,125",122.00,125.90,150,"29,000.00",75,"3,276.15","3,305.85",75,-42.15,"3,150.00",18.68,4,-4,241,
,"2,371",-25,230,11.82,66.50,-3.60,300,65.45,66.55,300,"30,000.00",75,"3,200.00","5,600.00",300,-,"4,200.00",-,-,-,12,
,"1,828",36,130,12.62,40.00,-2.70,"1,800",38.75,41.95,225,"31,000.00",-,-,-,-,-,-,-,-,-,-,
