CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"17,000.00",75,15.00,16.00,900,-1.50,15.50,31.90,20,18,73,
,-,-,-,-,-,-,-,-,-,-,"18,000.00",750,14.00,19.50,225,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"6,363.00",75,"19,000.00",225,20.50,21.85,900,0.40,21.35,25.20,228,35,"1,625",
,5,-,-,-,"5,390.00",-,-,-,"5,390.00",75,"20,000.00",225,31.10,32.00,225,0.80,31.90,22.80,415,99,"6,005",
,29,3,3,-,"4,167.00",-47.25,300,"4,142.80","4,650.40",375,"21,000.00",75,52.20,55.00,300,2.65,55.00,20.95,601,51,"5,203",
,572,-23,48,-,"3,258.90",-12.10,75,"3,217.70","3,265.65",75,"22,000.00",450,97.10,99.75,75,4.65,100.85,19.39,"1,213",323,"7,463",
,"1,718",-28,52,-,"2,375.00",-54.15,300,"2,370.00","2,384.90",75,"23,000.00",75,189.40,194.00,"2,100",8.95,189.40,18.05,"1,016",139,"7,898",
,"4,715",37,454,9.03,"1,579.20",-63.35,75,"1,569.75","1,598.05",150,"24,000.00",75,366.15,370.00,525,23.70,369.95,17.27,"2,461",448,"13,102",
,"7,730",590,"1,336",11.27,936.05,-44.45,75,931.55,934.95,75,"25,000.00",75,682.05,685.95,75,32.95,685.70,16.82,"1,362",419,"7,853",
,"7,471",-627,"1,637",11.59,466.50,-32.10,150,465.00,471.00,75,"26,000.00",300,"1,172.00","1,193.00",600,48.00,"1,180.00",16.86,201,35,"6,572",
,"5,074",193,875,11.80,200.00,-16.95,75,199.00,200.00,150,"27,000.00",75,"1,864.15","1,902.40",75,51.45,"1,874.10",17.92,68,-,977,
,"5,633",424,"1,189",12.33,82.95,-5.40,450,80.25,82.95,150,"28,000.00",600,"2,050.00",-,-,-,"4,400.00",-,-,-,1,
,"2,869",126,342,13.27,38.95,-2.20,75,38.20,38.95,825,"29,000.00",-,-,-,-,-,-,-,-,-,-,
,549,45,121,14.38,20.85,-2.55,225,20.60,21.30,900,"30,000.00",-,-,-,-,-,-,-,-,-,-,
