CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"23,100.00",300,162.00,171.00,450,2.00,165.85,18.21,64,59,59,
,-,-,-,-,-,-,-,-,-,-,"23,150.00",150,71.70,337.80,300,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,200.00",900,88.05,180.00,75,-0.55,180.00,18.13,20,20,20,
,-,-,-,-,-,-,-,-,-,-,"23,250.00",300,81.00,367.90,150,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,300.00",150,183.20,194.00,75,-5.45,193.00,17.99,74,69,69,
,-,-,-,-,-,-,-,-,-,-,"23,350.00",300,91.25,399.70,150,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,400.00",150,195.75,209.00,450,-9.70,208.00,17.88,70,70,70,
,-,-,-,-,-,-,-,-,-,-,"23,450.00",150,102.40,433.40,150,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,500.00",75,226.80,228.00,75,-10.30,228.00,17.89,964,718,718,
,-,-,-,-,-,-,-,-,-,-,"23,550.00",150,114.50,469.05,150,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,600.00",900,136.20,484.20,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,650.00",150,127.85,505.65,300,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,700.00",900,135.50,496.40,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,750.00",150,143.25,547.30,150,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,800.00",900,179.35,344.70,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,850.00",150,158.75,588.55,150,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,900.00",900,196.75,475.45,600,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,950.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,"1,363.05","1,477.75",300,"24,000.00",75,327.00,331.40,75,-34.05,329.00,17.44,"1,525",673,673,
,-,-,-,-,-,-,-,-,-,-,"24,050.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,980.10,"1,878.50",300,"24,100.00","1,800",322.55,405.00,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,502.80",900,"24,150.00",150,212.45,718.95,900,-,-,-,-,-,-,
,-,-,-,-,-,-,300,915.70,"1,878.05",300,"24,200.00",75,350.95,747.65,900,-54.25,370.00,17.05,2,2,2,
,-,-,-,-,-,-,150,738.95,"1,886.85",900,"24,250.00",150,233.55,769.30,900,-,-,-,-,-,-,
,-,-,-,-,-,-,300,847.05,"1,738.05",600,"24,300.00",300,379.50,432.00,75,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,812.50",900,"24,350.00",150,256.15,823.35,900,-,-,-,-,-,-,
,-,-,-,-,-,-,300,856.85,"1,723.95",300,"24,400.00",300,413.30,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,391.45",900,"24,450.00",900,280.45,877.95,900,-,-,-,-,-,-,
,19,19,33,11.95,"1,096.10",-167.35,75,"1,063.05","1,094.95",75,"24,500.00",75,469.00,474.50,75,-55.65,473.15,17.21,669,462,462,
,-,-,-,-,-,-,-,-,"1,105.25",900,"24,550.00",900,306.40,530.65,300,-,-,-,-,-,-,
,-,-,-,-,-,-,300,970.80,"1,603.95",300,"24,600.00",150,319.45,531.35,150,-,-,-,-,-,-,
,-,-,-,-,-,-,300,567.55,"1,547.05",300,"24,650.00","1,200",484.65,562.00,900,-,-,-,-,-,-,
,-,-,-,-,-,-,300,590.65,"1,082.65",300,"24,700.00",150,516.50,564.90,75,-54.90,552.40,17.34,2,2,2,
,1,1,1,14.03,"1,023.55",-93.20,300,565.85,"1,477.95",300,"24,750.00",300,362.45,-,-,-,-,-,-,-,-,
,7,7,12,12.23,911.00,-177.75,75,876.00,931.40,75,"24,800.00",300,377.60,603.95,75,-78.20,571.00,16.89,22,16,16,
,-,-,-,-,-,-,300,486.05,"1,446.50",900,"24,850.00",300,565.70,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,566.30,892.65,300,"24,900.00",300,586.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,623.60,"1,369.95",300,"24,950.00",150,425.25,699.10,300,-,-,-,-,-,-,
,89,89,159,12.01,781.60,-199.70,75,776.00,789.00,225,"25,000.00",525,648.85,666.90,75,-78.30,660.15,17.01,140,59,59,
,-,-,-,-,-,-,300,545.35,"1,270.40",300,"25,050.00",-,-,"1,240.95",900,-,-,-,-,-,-,
,-,-,-,-,-,-,300,400.85,-,-,"25,100.00",-,-,757.20,300,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"25,150.00",-,-,806.10,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,726.70,300,"25,200.00",300,572.65,"1,220.25",300,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,206.75",900,"25,250.00",-,-,"1,327.60",900,-,-,-,-,-,-,
,3,3,4,12.72,656.95,-176.60,900,341.30,"1,176.95",900,"25,300.00",300,614.80,"1,316.15",900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"25,350.00",-,-,"1,066.50",900,-,-,-,-,-,-,
,1,1,1,12.24,585.00,-202.90,975,317.85,698.80,900,"25,400.00",300,604.90,"1,212.75",300,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,639.30,900,"25,450.00",-,-,"1,476.40",900,-,-,-,-,-,-,
,55,55,91,12.14,535.00,-209.00,75,514.35,558.15,300,"25,500.00",75,859.60,957.10,300,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,724.90,525,"25,550.00",-,-,"1,589.90",900,-,-,-,-,-,-,
,2,2,4,12.28,498.50,-203.40,75,463.90,"1,008.35",150,"25,600.00",-,-,"1,627.20",900,-,-,-,-,-,-,
,-,-,-,-,-,-,150,251.45,-,-,"25,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,425.85,956.20,900,"25,700.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,229.50,685.00,75,"25,750.00",-,-,-,-,-,-,-,-,-,-,
,5,5,15,12.25,418.35,-204.50,"1,800",381.60,446.15,900,"25,800.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,209.05,881.30,150,"25,850.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,226.85,838.30,900,"25,900.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,190.10,564.55,150,"25,950.00",-,-,-,-,-,-,-,-,-,-,
,426,426,611,12.13,343.35,-207.15,300,334.05,350.00,75,"26,000.00",75,"1,159.65","1,211.00",75,-91.30,"1,200.00",17.27,29,12,12,
,-,-,-,-,-,-,150,172.15,450.00,75,"26,050.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,600.95,150,"26,100.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,156.10,450.00,75,"26,150.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,188.40,466.65,150,"26,200.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,140.35,430.00,75,"26,250.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,75,137.75,330.35,75,"26,300.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,126.25,445.00,75,"26,350.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,120.10,365.00,300,"26,400.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,113.50,390.00,75,"26,450.00",-,-,-,-,-,-,-,-,-,-,
,271,271,473,12.24,210.05,-187.25,375,210.05,213.55,75,"26,500.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,101.50,250.00,75,"26,550.00",-,-,-,-,-,-,-,-,-,-,
,22,22,32,12.46,200.00,-171.10,75,180.00,199.00,225,"26,600.00",-,-,-,-,-,-,-,-,-,-,
