CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,14,-,-,-,"2,880.00",-,"1,800","2,224.65","3,515.85","1,800","22,250.00",750,50.45,53.90,75,3.05,54.00,19.80,"1,159",604,"1,268",
,4,-,-,-,"2,785.00",-,"1,800","2,183.80","3,288.60","1,800","22,300.00",150,54.00,54.80,975,2.70,55.00,19.60,814,156,"2,052",
,4,-,-,-,"2,783.40",-,"1,800","2,092.25",-,-,"22,350.00",150,35.05,96.10,150,-,-,-,-,-,-,
,5,-,-,-,"2,737.10",-,"1,800","2,099.65","3,187.10","1,800","22,400.00",225,58.40,63.00,825,-1.15,59.50,19.38,398,-40,"1,556",
,5,-,-,-,"2,691.50",-,"1,800","2,004.25",-,-,"22,450.00",225,45.95,109.65,150,-,-,-,-,-,-,
,81,20,20,-,"2,535.00",-51.70,75,"2,491.60","2,534.35",75,"22,500.00",75,67.00,67.50,"1,800",2.30,67.50,19.38,"3,805",215,"10,365",
,7,-,-,-,"2,617.25",-,"1,500","2,094.55",-,-,"22,550.00",150,45.05,161.80,150,-,71.10,-,-,-,18,
,6,-,2,10.76,"2,533.90",-37.65,225,"1,615.45","2,867.90",975,"22,600.00",75,65.10,76.90,75,9.10,77.95,19.48,43,-11,847,
,7,-,-,-,"2,526.40",-,"1,800","2,002.45",-,-,"22,650.00",150,42.05,164.45,150,-,72.00,18.79,11,11,46,
,8,-,-,-,"2,481.10",-,975,"1,862.70","2,729.00","1,200","22,700.00",375,76.05,84.65,"1,125",0.95,77.00,18.81,929,80,"1,677",
,8,-,-,-,"2,418.85",-,"1,800","1,894.30",-,-,"22,750.00",300,47.10,181.00,300,-,79.00,-,-,-,22,
,9,-,-,-,"2,221.75",-,"1,800","1,893.80","2,665.25","1,275","22,800.00",750,83.35,86.00,300,2.05,83.85,18.62,"1,281",284,"2,377",
,8,-,-,-,"2,346.15",-,750,"1,690.20",-,-,"22,850.00",150,51.05,179.35,150,1.90,111.85,-,-,-,29,
