strike_price,call (LTP),put (LTP)
23050.0,878.85,55.0
23100.0,820.7,60.0
23150.0,782.0,67.25
23200.0,736.6,75.0
23250.0,680.6,82.0
23300.0,654.5,91.0
23350.0,622.3,100.65
23400.0,584.9,107.55
23450.0,543.9,117.0
23500.0,494.15,126.0
23550.0,450.3,136.4
23600.0,420.35,155.0
23650.0,385.95,173.0
23700.0,361.6,188.0
23750.0,334.0,209.15
23800.0,303.5,227.0
23850.0,270.0,245.05
23900.0,236.25,275.85
23950.0,211.0,300.0
24000.0,189.0,311.95
24050.0,168.5,346.4
24100.0,144.0,371.1
24150.0,131.75,403.0
24200.0,112.0,447.55
24250.0,99.0,491.05
24300.0,87.35,524.6
24350.0,82.5,568.4
24400.0,68.0,580.0
24450.0,59.0,645.55
24500.0,54.0,679.35
24550.0,48.75,699.75
24600.0,42.3,773.75
24650.0,37.95,829.3
