date,recession,cpi,gdp,unemployment,m2,fed_funds,ten_two,residential
1/1/1947,0,21.5,2182.681,,,,,
2/1/1947,0,21.5,,,,,,
3/1/1947,0,21.9,,,,,,
4/1/1947,0,21.9,2176.892,,,,,
5/1/1947,0,21.9,,,,,,
6/1/1947,0,22,,,,,,
7/1/1947,0,22.2,2172.432,,,,,
8/1/1947,0,22.5,,,,,,
9/1/1947,0,23,,,,,,
10/1/1947,0,23,2206.452,,,,,
11/1/1947,0,23.1,,,,,,
12/1/1947,0,23.4,,,,,,
1/1/1948,0,23.7,2239.682,4,,,,
2/1/1948,0,23.5,,4.7,,,,
3/1/1948,0,23.4,,4.5,,,,
4/1/1948,0,23.8,2276.69,4,,,,
5/1/1948,0,23.9,,3.4,,,,
6/1/1948,0,24.1,,3.9,,,,
7/1/1948,0,24.4,2289.77,3.9,,,,
8/1/1948,0,24.5,,3.6,,,,
9/1/1948,0,24.5,,3.4,,,,
10/1/1948,0,24.4,2292.364,2.9,,,,
11/1/1948,0,24.2,,3.3,,,,
12/1/1948,1,24.1,,3.6,,,,
1/1/1949,1,24,2260.807,5,,,,
2/1/1949,1,23.8,,5.8,,,,
3/1/1949,1,23.8,,5.6,,,,
4/1/1949,1,23.9,2253.128,5.4,,,,
5/1/1949,1,23.8,,5.7,,,,
6/1/1949,1,23.9,,6.4,,,,
7/1/1949,1,23.7,2276.424,7,,,,
8/1/1949,1,23.8,,6.3,,,,
9/1/1949,1,23.9,,5.9,,,,
10/1/1949,1,23.7,2257.352,6.1,,,,
11/1/1949,0,23.8,,5.7,,,,
12/1/1949,0,23.6,,6,,,,
1/1/1950,0,23.5,2346.104,7.6,,,,
2/1/1950,0,23.5,,7.9,,,,
3/1/1950,0,23.6,,7.1,,,,
4/1/1950,0,23.6,2417.682,6,,,,
5/1/1950,0,23.7,,5.3,,,,
6/1/1950,0,23.8,,5.6,,,,
7/1/1950,0,24.1,2511.127,5.3,,,,
8/1/1950,0,24.3,,4.1,,,,
9/1/1950,0,24.4,,4,,,,
10/1/1950,0,24.6,2559.214,3.3,,,,
11/1/1950,0,24.7,,3.8,,,,
12/1/1950,0,25,,3.9,,,,
1/1/1951,0,25.4,2593.967,4.4,,,,
2/1/1951,0,25.7,,4.2,,,,
3/1/1951,0,25.8,,3.8,,,,
4/1/1951,0,25.8,2638.898,3.2,,,,
5/1/1951,0,25.9,,2.9,,,,
6/1/1951,0,25.9,,3.4,,,,
7/1/1951,0,25.9,2693.259,3.3,,,,
8/1/1951,0,25.9,,2.9,,,,
9/1/1951,0,26.1,,3,,,,
10/1/1951,0,26.2,2699.156,2.8,,,,
11/1/1951,0,26.4,,3.2,,,,
12/1/1951,0,26.5,,2.9,,,,
1/1/1952,0,26.5,2727.954,3.7,,,,
2/1/1952,0,26.3,,3.8,,,,
3/1/1952,0,26.3,,3.3,,,,
4/1/1952,0,26.4,2733.8,3,,,,
5/1/1952,0,26.4,,2.9,,,,
6/1/1952,0,26.5,,3.2,,,,
7/1/1952,0,26.7,2753.517,3.3,,,,
8/1/1952,0,26.7,,3.1,,,,
9/1/1952,0,26.7,,2.7,,,,
10/1/1952,0,26.7,2843.941,2.4,,,,
11/1/1952,0,26.7,,2.5,,,,
12/1/1952,0,26.7,,2.5,,,,
1/1/1953,0,26.6,2896.811,3.4,,,,
2/1/1953,0,26.5,,3.2,,,,
3/1/1953,0,26.6,,2.9,,,,
4/1/1953,0,26.6,2919.206,2.8,,,,
5/1/1953,0,26.7,,2.5,,,,
